SNo,Dashboard,Module,Method,Endpoint,Status
1,System,"1. Authentication",POST,/api/auth/login,Done
2,System,"1. Authentication",POST,/api/auth/register,Done
3,System,"2. Health Check - START HERE",GET,/api/health,Done
4,Client,"1. Banners (Public)",GET,/api/banners,Done
5,Client,"2. Payment (Customer Dashboard)",POST,/api/user/payment-methods,Pending
6,Client,"2. Payment (Customer Dashboard)",PUT,/api/user/payment-methods/{id},Pending
7,Client,"2. Payment (Customer Dashboard)",DELETE,/api/user/payment-methods/{id},Pending
8,Client,"3. Profile",GET,/api/auth/profile,Done
9,Client,"3. Profile",POST,/api/auth/forgot-password,Done
10,Client,"3. Profile",POST,/api/auth/logout,Done
11,Client,"3. Profile",POST,/api/auth/reset-password,Done
12,Client,"3. Profile",POST,/api/auth/verify-otp,Done
13,Client,"4. Reports",GET,/api/reports,Done
14,Client,"4. Reports",GET,/api/reports/{id},Done
15,Client,"4. Reports",POST,/api/reports,Done
16,Client,"5. Shop & Orders",GET,/api/orders,Done
17,Client,"5. Shop & Orders",GET,/api/orders/{id},Done
18,Client,"5. Shop & Orders",GET,/api/orders/{id}/track,Done
19,Client,"5. Shop & Orders",GET,/api/shop/cart,Done
20,Client,"5. Shop & Orders",GET,/api/shop/categories,Done
21,Client,"5. Shop & Orders",GET,/api/shop/categories/{id},Done
22,Client,"5. Shop & Orders",GET,/api/shop/checkout/payment-methods,Done
23,Client,"5. Shop & Orders",GET,/api/shop/checkout/review,Done
24,Client,"5. Shop & Orders",GET,/api/shop/order-summary,Done
25,Client,"5. Shop & Orders",GET,/api/shop/orders,Done
26,Client,"5. Shop & Orders",GET,/api/shop/orders/guest,Done
27,Client,"5. Shop & Orders",GET,/api/shop/orders/guest/track,Done
28,Client,"5. Shop & Orders",GET,/api/shop/orders/{id},Done
29,Client,"5. Shop & Orders",GET,/api/shop/payments,Done
30,Client,"5. Shop & Orders",GET,/api/shop/payments/{id},Done
31,Client,"5. Shop & Orders",GET,/api/shop/settings,Done
32,Client,"5. Shop & Orders",GET,/api/shop/transactions,Done
33,Client,"5. Shop & Orders",GET,/api/shop/transactions/{id},Done
34,Client,"5. Shop & Orders",POST,/api/orders/{id}/cancel,Done
35,Client,"5. Shop & Orders",POST,/api/orders/{id}/rate,Done
36,Client,"5. Shop & Orders",POST,/api/shop/cart/add,Done
37,Client,"5. Shop & Orders",POST,/api/shop/checkout,Done
38,Client,"5. Shop & Orders",POST,/api/shop/create-payment-session,Done
39,Client,"5. Shop & Orders",POST,/api/shop/orders/{id}/mark-paid,Done
40,Client,"5. Shop & Orders",POST,/api/shop/webhooks/checkout-com,Done
41,Client,"5. Shop & Orders",PUT,/api/orders/{id},Done
42,Client,"5. Shop & Orders",PUT,/api/shop/cart/{id},Done
43,Client,"5. Shop & Orders",PUT,/api/shop/settings,Done
44,Client,"5. Shop & Orders",DELETE,/api/shop/cart/{id},Done
45,Client,"6. Subscriptions",GET,/api/subscriptions,Done
46,Client,"6. Subscriptions",GET,/api/subscriptions/plans,Done
47,Client,"6. Subscriptions",GET,/api/subscriptions/{id},Done
48,Client,"6. Subscriptions",POST,/api/subscriptions,Done
49,Client,"6. Subscriptions",POST,/api/subscriptions/{id}/mark-paid,Done
50,Client,"6. Subscriptions",PUT,/api/subscriptions/{id},Done
51,Client,"6. Subscriptions",DELETE,/api/subscriptions/{id},Done
52,Client,"7. Visits",GET,/api/visits,Done
53,Client,"7. Visits",GET,/api/visits/{id},Done
54,Client,"7. Visits",POST,/api/visits,Done
55,Client,"7. Visits",POST,/api/visits/{id}/upload-photo,Done
56,Client,"7. Visits",PUT,/api/visits/{id},Done
57,Client,"7. Visits",DELETE,/api/visits/{id}/photos/{id},Done
58,Technician,"1. All APIs (Technician Only)",GET,/api/tech/visits,Done
59,Technician,"1. All APIs (Technician Only)",POST,/api/tech/visits/{id}/accept,Done
60,Technician,"1. All APIs (Technician Only)",POST,/api/tech/visits/{id}/complete,Done
61,Technician,"1. All APIs (Technician Only)",POST,/api/tech/visits/{id}/photos,Done
62,Technician,"1. All APIs (Technician Only)",POST,/api/tech/visits/{id}/start,Done
63,Technician,"2. Availability & Scheduling",POST,/api/technician/vacations,Pending
64,Technician,"3. Earnings & Payout",GET,/api/technician/payouts/{id},Pending
65,Technician,"3. Earnings & Payout",POST,/api/technician/payouts/request,Pending
66,Technician,"4. Job History",GET,/api/technician/jobs/history/export,Pending
67,Technician,"4. Job History",GET,/api/technician/jobs/{id},Pending
68,Technician,"5. Tasks Management",POST,/api/technician/tasks/{id}/accept|/api/technician/tasks/{id}/reject,Pending
69,Technician,"6. Technician Dashboard (Full API)",GET,/api/technician/availability,Done
70,Technician,"6. Technician Dashboard (Full API)",GET,/api/technician/bank-accounts,Done
71,Technician,"6. Technician Dashboard (Full API)",GET,/api/technician/dashboard,Done
72,Technician,"6. Technician Dashboard (Full API)",GET,/api/technician/jobs,Done
73,Technician,"6. Technician Dashboard (Full API)",GET,/api/technician/jobs/status-counts,Done
74,Technician,"6. Technician Dashboard (Full API)",GET,/api/technician/jobs/accepted,Done
75,Technician,"6. Technician Dashboard (Full API)",GET,/api/technician/jobs/rejected,Done
