SNo,Dashboard,Module,Method,Endpoint,Status
1,Admin,"11. Admin Dashboard – Stats, Users & HR",DELETE,/api/admin/hr/employees/{id},Done
2,Admin,"11. Admin Dashboard – Stats, Users & HR",DELETE,/api/admin/users/{id},Done
3,Admin,"11. Admin Dashboard – Stats, Users & HR",GET,/api/admin/dashboard/profile,Done
4,Admin,"11. Admin Dashboard – Stats, Users & HR",GET,/api/admin/dashboard/quick-overview,Done
5,Admin,"11. Admin Dashboard – Stats, Users & HR",GET,/api/admin/dashboard/recent-activities,Done
6,Admin,"11. Admin Dashboard – Stats, Users & HR",GET,/api/admin/dashboard/statistics,Done
7,Admin,"11. Admin Dashboard – Stats, Users & HR",GET,/api/admin/dashboard/top-selling-products,Done
8,Admin,"11. Admin Dashboard – Stats, Users & HR",GET,/api/admin/hr/employees,Done
9,Admin,"11. Admin Dashboard – Stats, Users & HR",GET,/api/admin/hr/employees/{id},Done
10,Admin,"11. Admin Dashboard – Stats, Users & HR",GET,/api/admin/roles,Done
11,Admin,"11. Admin Dashboard – Stats, Users & HR",GET,/api/admin/users,Done
12,Admin,"11. Admin Dashboard – Stats, Users & HR",GET,/api/admin/users,Done
13,Admin,"11. Admin Dashboard – Stats, Users & HR",GET,/api/admin/users/statistics,Done
14,Admin,"11. Admin Dashboard – Stats, Users & HR",GET,/api/admin/users/{id},Done
15,Admin,"11. Admin Dashboard – Stats, Users & HR",POST,/api/admin/hr/employees,Done
16,Admin,"11. Admin Dashboard – Stats, Users & HR",POST,/api/admin/roles,Done
17,Admin,"11. Admin Dashboard – Stats, Users & HR",POST,/api/admin/users,Done
18,Admin,"11. Admin Dashboard – Stats, Users & HR",PUT,/api/admin/hr/employees/{id},Done
19,Admin,"11. Admin Dashboard – Stats, Users & HR",PUT,/api/admin/users/{id},Done
20,Admin,"12. Admin Dashboard – Reports Management",DELETE,/api/admin/reports/1,Done
21,Admin,"12. Admin Dashboard – Reports Management",DELETE,/api/admin/reports/1/cancel,Done
22,Admin,"12. Admin Dashboard – Reports Management",GET,/api/admin/reports,Done
23,Admin,"12. Admin Dashboard – Reports Management",GET,/api/admin/reports/1,Done
24,Admin,"12. Admin Dashboard – Reports Management",GET,/api/admin/reports/1/download,Done
25,Admin,"12. Admin Dashboard – Reports Management",GET,/api/admin/reports/statistics,Done
26,Admin,"12. Admin Dashboard – Reports Management",POST,/api/admin/reports/1/share,Done
27,Admin,"12. Admin Dashboard – Reports Management",POST,/api/admin/reports/generate,Done
28,Admin,"12. Admin Dashboard – Reports Management",POST,/api/admin/reports/schedule,Done
29,Admin,"13. Admin Dashboard – Settings (Mobile)",GET,/api/admin/settings,Done
30,Admin,"13. Admin Dashboard – Settings (Mobile)",GET,/api/admin/settings/debug-logs,Done
31,Admin,"13. Admin Dashboard – Settings (Mobile)",GET,/api/admin/settings/language,Done
