SNo,Dashboard,Module,Method,Endpoint,Status
1,Client,Payment (Customer Dashboard),GET,/api/shop/checkout/payment-methods,Done
2,Client,Payment (Customer Dashboard),POST,/api/shop/create-payment-session,Done
3,Client,Payment (Customer Dashboard),GET,/api/shop/payments,Done
4,Client,Payment (Customer Dashboard),GET,/api/shop/payments/{id},Done
5,Client,Payment (Customer Dashboard),GET,/api/user/payment-methods,Done
6,Client,Payment (Customer Dashboard),POST,/api/user/payment-methods,Pending
7,Client,Payment (Customer Dashboard),PUT,/api/user/payment-methods/{id},Pending
8,Client,Payment (Customer Dashboard),DELETE,/api/user/payment-methods/{id},Pending
9,System,Payment (Gateway Webhook),POST,/api/shop/webhooks/checkout-com,Done
10,Technician,Dashboard Overview,GET,/api/technician/dashboard,Done
11,Technician,Dashboard Overview,GET,/api/technician/dashboard,Done
12,Technician,Dashboard Overview,GET,/api/technician/dashboard,Done
13,Technician,Dashboard Overview,GET,/api/technician/dashboard,Done
14,Technician,Profile & Settings,GET,/api/technician/profile,Done
15,Technician,Profile & Settings,PUT,/api/technician/profile,Done
16,Technician,Profile & Settings,PUT,/api/technician/profile,Done
17,Technician,Profile & Settings,GET,/api/technician/settings/payout,Done
18,Technician,Profile & Settings,PUT,/api/technician/settings/payout,Done
19,Technician,Earnings & Payout,GET,/api/technician/payout-summary,Done
20,Technician,Earnings & Payout,GET,/api/technician/jobs,Done
21,Technician,Earnings & Payout,GET,/api/technician/payouts,Done
22,Technician,Earnings & Payout,POST,/api/technician/payouts/request,Pending
23,Technician,Earnings & Payout,GET,/api/technician/payouts/{id},Pending
24,Technician,Bank Accounts,GET,/api/technician/bank-accounts,Done
25,Technician,Bank Accounts,POST,/api/technician/bank-accounts,Done
26,Technician,Bank Accounts,PUT,/api/technician/bank-accounts/{id},Done
27,Technician,Bank Accounts,DELETE,/api/technician/bank-accounts/{id},Done
28,Technician,Availability & Scheduling,GET,/api/technician/availability,Done
29,Technician,Availability & Scheduling,PUT,/api/technician/availability,Done
30,Technician,Availability & Scheduling,GET,/api/technician/schedule,Done
31,Technician,Availability & Scheduling,POST,/api/technician/vacations,Pending
32,Technician,Job History,GET,/api/technician/jobs,Done
33,Technician,Job History,GET,/api/technician/jobs/{id},Pending
