SNo,Dashboard,Module,Method,Endpoint,Status
1,Client,Payment (Customer Dashboard),GET,/api/shop/checkout/payment-methods,Pending
2,Client,Payment (Customer Dashboard),POST,/api/shop/create-payment-session,Pending
3,Client,Payment (Customer Dashboard),GET,/api/shop/payments,Pending
4,Client,Payment (Customer Dashboard),GET,/api/shop/payments/{id},Pending
5,Client,Payment (Customer Dashboard),GET,/api/user/payment-methods,Pending
6,Client,Payment (Customer Dashboard),POST,/api/user/payment-methods,Pending
7,Client,Payment (Customer Dashboard),PUT,/api/user/payment-methods/{id},Pending
8,Client,Payment (Customer Dashboard),DELETE,/api/user/payment-methods/{id},Pending
9,System,Payment (Gateway Webhook),POST,/api/shop/webhooks/checkout-com,Pending
10,Technician,Dashboard Overview,GET,/api/technician/dashboard,Completed
11,Technician,Dashboard Overview,GET,/api/technician/dashboard,Completed
12,Technician,Dashboard Overview,GET,/api/technician/dashboard,Completed
13,Technician,Dashboard Overview,GET,/api/technician/dashboard,Partial
14,Technician,Profile & Settings,GET,/api/technician/profile,Completed
15,Technician,Profile & Settings,PUT,/api/technician/profile,Completed
16,Technician,Profile & Settings,PUT,/api/technician/profile,Partial
17,Technician,Profile & Settings,GET,/api/technician/settings/payout,Partial
18,Technician,Profile & Settings,PUT,/api/technician/settings/payout,Partial
19,Technician,Earnings & Payout,GET,/api/technician/payout-summary,Partial
20,Technician,Earnings & Payout,GET,/api/technician/jobs,Partial
21,Technician,Earnings & Payout,GET,/api/technician/payouts,Completed
22,Technician,Earnings & Payout,POST,/api/technician/payouts/request,Pending
23,Technician,Earnings & Payout,GET,/api/technician/payouts/{id},Pending
24,Technician,Bank Accounts,GET,/api/technician/bank-accounts,Completed
25,Technician,Bank Accounts,POST,/api/technician/bank-accounts,Completed
26,Technician,Bank Accounts,PUT,/api/technician/bank-accounts/{id},Completed
27,Technician,Bank Accounts,DELETE,/api/technician/bank-accounts/{id},Completed
28,Technician,Availability & Scheduling,GET,/api/technician/availability,Completed
29,Technician,Availability & Scheduling,PUT,/api/technician/availability,Completed
30,Technician,Availability & Scheduling,GET,/api/technician/schedule,Completed
31,Technician,Availability & Scheduling,POST,/api/technician/breaks,Completed
32,Technician,Availability & Scheduling,POST,/api/technician/vacations,Completed
33,Technician,Job History,GET,/api/technician/jobs,Completed
34,Technician,Job History,GET,/api/technician/jobs/{id},Completed
35,Technician,Job History,GET,/api/technician/jobs/history/export,Pending
36,Technician,Tasks Management,GET,/api/technician/tasks,Completed
37,Technician,Tasks Management,GET,/api/technician/tasks/{id},Completed
38,Technician,Tasks Management,PUT,/api/technician/tasks/{id}/status,Completed
39,Technician,Tasks Management,POST,/api/technician/tasks/{id}/accept|/api/technician/tasks/{id}/reject,Completed
40,Technician,Help & Support,GET,/api/support/help-center,Completed
41,Technician,Help & Support,POST,/api/support/tickets,Completed
42,Area Manager,Dashboard Overview,GET,/api/area-manager/dashboard/summary,Pending
43,Area Manager,Dashboard Overview,GET,/api/area-manager/dashboard/kpis,Pending
44,Area Manager,Dashboard Overview,GET,/api/area-manager/dashboard/active-regions,Pending
45,Area Manager,Dashboard Overview,GET,/api/area-manager/dashboard/alerts,Pending
46,Area Manager,Team Leaders Management,GET,/api/area-manager/team-leaders,Pending
47,Area Manager,Team Leaders Management,POST,/api/area-manager/team-leaders,Pending
48,Area Manager,Team Leaders Management,GET,/api/area-manager/team-leaders/{id},Pending
49,Area Manager,Team Leaders Management,PUT,/api/area-manager/team-leaders/{id},Pending
