SNo,Dashboard,Module,Method,Endpoint,Status
1,Technician,Dashboard Overview,GET,/api/technician/dashboard/summary,Not Started
2,Technician,Dashboard Overview,GET,/api/technician/dashboard/kpis,Not Started
3,Technician,Dashboard Overview,GET,/api/technician/dashboard/upcoming-visits,Not Started
4,Technician,Dashboard Overview,GET,/api/technician/dashboard/alerts,Not Started
5,Technician,Profile & Settings,GET,/api/technician/profile,Not Started
6,Technician,Profile & Settings,PUT,/api/technician/profile,Not Started
7,Technician,Profile & Settings,PUT,/api/technician/profile/password,Not Started
8,Technician,Profile & Settings,GET,/api/technician/settings,Not Started
9,Technician,Profile & Settings,PUT,/api/technician/settings,Not Started
10,Technician,Earnings & Payout,GET,/api/technician/earnings/summary,Not Started
11,Technician,Earnings & Payout,GET,/api/technician/earnings/history,Not Started
12,Technician,Earnings & Payout,GET,/api/technician/payouts,Not Started
13,Technician,Earnings & Payout,POST,/api/technician/payouts/request,Not Started
14,Technician,Earnings & Payout,GET,/api/technician/payouts/{id},Not Started
15,Technician,Bank Accounts,GET,/api/technician/bank-accounts,Not Started
16,Technician,Bank Accounts,POST,/api/technician/bank-accounts,Not Started
17,Technician,Bank Accounts,PUT,/api/technician/bank-accounts/{id},Not Started
18,Technician,Bank Accounts,DELETE,/api/technician/bank-accounts/{id},Not Started
19,Technician,Availability & Scheduling,GET,/api/technician/availability,Not Started
20,Technician,Availability & Scheduling,PUT,/api/technician/availability,Not Started
21,Technician,Availability & Scheduling,GET,/api/technician/schedule,Not Started
22,Technician,Availability & Scheduling,POST,/api/technician/breaks,Not Started
23,Technician,Availability & Scheduling,POST,/api/technician/vacations,Not Started
24,Technician,Job History,GET,/api/technician/jobs/history,Not Started
25,Technician,Job History,GET,/api/technician/jobs/history/{id},Not Started
26,Technician,Job History,GET,/api/technician/jobs/history/export,Not Started
27,Technician,Tasks Management,GET,/api/technician/tasks,Not Started
28,Technician,Tasks Management,GET,/api/technician/tasks/{id},Not Started
29,Technician,Tasks Management,PUT,/api/technician/tasks/{id}/status,Not Started
30,Technician,Tasks Management,POST,/api/technician/tasks/{id}/accept-reject,Not Started
31,Technician,Help & Support,GET,/api/technician/support/help-center,Not Started
32,Technician,Help & Support,POST,/api/technician/support/tickets,Not Started
33,Area Manager,Dashboard Overview,GET,/api/area-manager/dashboard/summary,Not Started
34,Area Manager,Dashboard Overview,GET,/api/area-manager/dashboard/kpis,Not Started
35,Area Manager,Dashboard Overview,GET,/api/area-manager/dashboard/active-regions,Not Started
36,Area Manager,Dashboard Overview,GET,/api/area-manager/dashboard/alerts,Not Started
37,Area Manager,Team Leaders Management,GET,/api/area-manager/team-leaders,Not Started
38,Area Manager,Team Leaders Management,POST,/api/area-manager/team-leaders,Not Started
39,Area Manager,Team Leaders Management,GET,/api/area-manager/team-leaders/{id},Not Started
40,Area Manager,Team Leaders Management,PUT,/api/area-manager/team-leaders/{id},Not Started
41,Area Manager,Team Leaders Management,DELETE,/api/area-manager/team-leaders/{id},Not Started
42,Area Manager,Region Map,GET,/api/area-manager/regions,Not Started
43,Area Manager,Region Map,GET,/api/area-manager/regions/{id}/map-data,Not Started
44,Area Manager,Region Map,GET,/api/area-manager/regions/{id}/live-status,Not Started
45,Area Manager,Region Map,GET,/api/area-manager/regions/{id}/technicians,Not Started
46,Area Manager,Analytics,GET,/api/area-manager/analytics/performance,Not Started
47,Area Manager,Analytics,GET,/api/area-manager/analytics/visits,Not Started
48,Area Manager,Analytics,GET,/api/area-manager/analytics/revenue,Not Started
49,Area Manager,Analytics,GET,/api/area-manager/analytics/customer-satisfaction,Not Started
50,Area Manager,Reports,GET,/api/area-manager/reports,Not Started
51,Area Manager,Reports,POST,/api/area-manager/reports/generate,Not Started
52,Area Manager,Reports,GET,/api/area-manager/reports/{id},Not Started
53,Area Manager,Reports,GET,/api/area-manager/reports/{id}/download,Not Started
54,Area Manager,Profile,GET,/api/area-manager/profile,Not Started
55,Area Manager,Profile,PUT,/api/area-manager/profile,Not Started
56,Area Manager,Profile,PUT,/api/area-manager/profile/password,Not Started
57,Supervisor,Dashboard Overview,GET,/api/supervisor/dashboard/summary,Not Started
58,Supervisor,Dashboard Overview,GET,/api/supervisor/dashboard/kpis,Not Started
59,Supervisor,Dashboard Overview,GET,/api/supervisor/dashboard/team-status,Not Started
60,Supervisor,Dashboard Overview,GET,/api/supervisor/dashboard/alerts,Not Started
61,Supervisor,Team Statistics,GET,/api/supervisor/team/statistics,Not Started
