SNo,Dashboard,Module,Method,Endpoint,Status
1,1. Health Check - START HERE,1. Health Check - START HERE,GET,/api/health,Done
2,1. Health Check - START HERE,1. Health Check - START HERE,GET,/api/debug/performance,Done
3,2. Authentication,2. Authentication,POST,/api/auth/register,Done
4,2. Authentication,2. Authentication,POST,/api/auth/login,Done
5,3. Client Dashboard – Profile,3. Client Dashboard – Profile,GET,/api/auth/profile,Done
6,3. Client Dashboard – Profile,3. Client Dashboard – Profile,POST,/api/auth/logout,Done
7,3. Client Dashboard – Profile,3. Client Dashboard – Profile,POST,/api/auth/forgot-password,Done
8,3. Client Dashboard – Profile,3. Client Dashboard – Profile,POST,/api/auth/verify-otp,Done
9,3. Client Dashboard – Profile,3. Client Dashboard – Profile,POST,/api/auth/reset-password,Done
10,3a. Client Dashboard – Settings,3a. Client Dashboard – Settings,GET,/api/client/settings/dashboard,Done
11,3a. Client Dashboard – Settings,3a. Client Dashboard – Settings,GET,/api/client/memberships,Done
12,3b. Client Profile – All Settings (One Place) [12 requests],3b. Client Profile – All Settings (One Place) [12 requests],GET,/api/user/profile,Done
13,3b. Client Profile – All Settings (One Place) [12 requests],3b. Client Profile – All Settings (One Place) [12 requests],POST,/api/user/profile,Done
14,3b. Client Profile – All Settings (One Place) [12 requests],3b. Client Profile – All Settings (One Place) [12 requests],GET,/api/user/addresses,Done
15,3b. Client Profile – All Settings (One Place) [12 requests],3b. Client Profile – All Settings (One Place) [12 requests],POST,/api/user/addresses,Done
16,3b. Client Profile – All Settings (One Place) [12 requests],3b. Client Profile – All Settings (One Place) [12 requests],PUT,/api/user/addresses/{id},Done
17,3b. Client Profile – All Settings (One Place) [12 requests],3b. Client Profile – All Settings (One Place) [12 requests],DELETE,/api/user/addresses/{id},Done
18,3b. Client Profile – All Settings (One Place) [12 requests],3b. Client Profile – All Settings (One Place) [12 requests],GET,/api/user/payment-methods,Done
19,3b. Client Profile – All Settings (One Place) [12 requests],3b. Client Profile – All Settings (One Place) [12 requests],GET,/api/user/notifications,Done
20,3b. Client Profile – All Settings (One Place) [12 requests],3b. Client Profile – All Settings (One Place) [12 requests],POST,/api/user/notifications/clear-all,Done
21,3b. Client Profile – All Settings (One Place) [12 requests],3b. Client Profile – All Settings (One Place) [12 requests],GET,/api/support/help-center,Done
22,3b. Client Profile – All Settings (One Place) [12 requests],3b. Client Profile – All Settings (One Place) [12 requests],POST,/api/support/tickets,Done
23,3b. Client Profile – All Settings (One Place) [12 requests],3b. Client Profile – All Settings (One Place) [12 requests],GET,/api/support/tickets,Done
24,3b. Client Profile – All Settings (One Place) [12 requests],3b. Client Profile – All Settings (One Place) [12 requests],GET,/api/support/tickets/{id},Done
25,3b. Client Profile – All Settings (One Place) [12 requests],3b. Client Profile – All Settings (One Place) [12 requests],POST,/api/support/tickets/{id}/reply,Done
26,4. Client Dashboard – Subscriptions,4. Client Dashboard – Subscriptions,GET,/api/subscriptions/plans,Done
27,4. Client Dashboard – Subscriptions,4. Client Dashboard – Subscriptions,POST,/api/subscriptions,Done
28,4. Client Dashboard – Subscriptions,4. Client Dashboard – Subscriptions,GET,/api/subscriptions,Done
29,4. Client Dashboard – Subscriptions,4. Client Dashboard – Subscriptions,GET,/api/subscriptions/{id},Done
30,4. Client Dashboard – Subscriptions,4. Client Dashboard – Subscriptions,POST,/api/subscriptions/{id}/mark-paid,Done
31,4. Client Dashboard – Subscriptions,4. Client Dashboard – Subscriptions,PUT,/api/subscriptions/{id},Done
32,4. Client Dashboard – Subscriptions,4. Client Dashboard – Subscriptions,DELETE,/api/subscriptions/{id},Done
33,5. Client Dashboard – Banners (Public),5. Client Dashboard – Banners (Public),GET,/api/banners,Done
34,5b. Admin Dashboard – Banners,5b. Admin Dashboard – Banners,GET,/api/admin/banners,Done
35,5b. Admin Dashboard – Banners,5b. Admin Dashboard – Banners,POST,/api/admin/banners,Done
36,5b. Admin Dashboard – Banners,5b. Admin Dashboard – Banners,GET,/api/admin/banners/{id},Done
37,5b. Admin Dashboard – Banners,5b. Admin Dashboard – Banners,POST,/api/admin/banners/{id},Done
38,5b. Admin Dashboard – Banners,5b. Admin Dashboard – Banners,POST,/api/admin/banners/update-order,Done
39,5b. Admin Dashboard – Banners,5b. Admin Dashboard – Banners,POST,/api/admin/banners/{id}/toggle-status,Done
40,5b. Admin Dashboard – Banners,5b. Admin Dashboard – Banners,DELETE,/api/admin/banners/{id},Done
41,5c. Client Dashboard – Packages (Customer Home),5c. Client Dashboard – Packages (Customer Home),GET,/api/packages,Done
42,5d. Admin Dashboard – Packages,5d. Admin Dashboard – Packages,GET,/api/admin/packages,Done
43,5d. Admin Dashboard – Packages,5d. Admin Dashboard – Packages,POST,/api/admin/packages,Done
44,5d. Admin Dashboard – Packages,5d. Admin Dashboard – Packages,PUT,/api/admin/packages/1,Done
45,5e. Admin Dashboard – Orders Export,5e. Admin Dashboard – Orders Export,GET,/api/admin/orders/export,Done
46,5e. Admin Dashboard – Orders Export,5e. Admin Dashboard – Orders Export,POST,/api/admin/orders/send-to-supplier,Done
47,6. Client Dashboard – Visits,6. Client Dashboard – Visits,GET,/api/visits,Done
48,6. Client Dashboard – Visits,6. Client Dashboard – Visits,GET,/api/visits/areas,Done
49,6. Client Dashboard – Visits,6. Client Dashboard – Visits,GET,/api/visits/{id},Done
50,6. Client Dashboard – Visits,6. Client Dashboard – Visits,POST,/api/visits,Done
51,6. Client Dashboard – Visits,6. Client Dashboard – Visits,PUT,/api/visits/{id},Done
52,6. Client Dashboard – Visits,6. Client Dashboard – Visits,POST,/api/visits/{id}/upload-photo,Done
53,6. Client Dashboard – Visits,6. Client Dashboard – Visits,DELETE,/api/visits/{id}/photos/{id},Done
54,7. Client Dashboard – Reports,7. Client Dashboard – Reports,GET,/api/reports,Done
55,7. Client Dashboard – Reports,7. Client Dashboard – Reports,GET,/api/reports/{id},Done
56,7. Client Dashboard – Reports,7. Client Dashboard – Reports,POST,/api/reports,Done
57,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,GET,/api/shop/settings,Done
58,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,PUT,/api/shop/settings,Done
59,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,GET,/api/shop/order-summary,Done
60,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,POST,/api/shop/cart/add,Done
61,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,GET,/api/shop/cart,Done
62,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,PUT,/api/shop/cart/{id},Done
63,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,DELETE,/api/shop/cart/{id},Done
64,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,GET,/api/shop/checkout/payment-methods,Done
65,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,POST,/api/shop/create-payment-session,Done
66,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,GET,/api/shop/checkout/review,Done
67,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,POST,/api/shop/checkout,Done
68,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,POST,/api/shop/webhooks/checkout-com,Done
69,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,GET,/api/shop/orders/guest,Done
70,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,GET,/api/shop/orders/guest/track,Done
71,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,GET,/api/shop/orders,Done
72,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,GET,/api/shop/orders/{id},Done
73,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,POST,/api/shop/orders/{id}/mark-paid,Done
74,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,PUT,/api/orders/{id},Done
75,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,POST,/api/orders/{id}/cancel,Done
76,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,GET,/api/orders/{id}/track,Done
77,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,POST,/api/orders/{id}/rate,Done
78,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,GET,/api/orders,Done
79,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,GET,/api/orders/{id},Done
80,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,GET,/api/shop/categories,Done
81,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,GET,/api/shop/categories/{id},Done
82,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,GET,/api/shop/payments,Done
83,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,GET,/api/shop/payments/{id},Done
84,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,GET,/api/shop/transactions,Done
85,8. Client Dashboard – Shop & Orders,8. Client Dashboard – Shop & Orders,GET,/api/shop/transactions/{id},Done
86,8b. Client Dashboard – Maintenance Photos,8b. Client Dashboard – Maintenance Photos,GET,/api/maintenance-photos,Done
87,8b. Client Dashboard – Maintenance Photos,8b. Client Dashboard – Maintenance Photos,GET,/api/maintenance-photos/visit/{id},Done
88,9. Technician Dashboard – All APIs (Technician Only),9. Technician Dashboard – All APIs (Technician Only),GET,/api/tech/visits,Done
89,9. Technician Dashboard – All APIs (Technician Only),9. Technician Dashboard – All APIs (Technician Only),POST,/api/tech/visits/{id}/accept,Done
90,9. Technician Dashboard – All APIs (Technician Only),9. Technician Dashboard – All APIs (Technician Only),POST,/api/tech/visits/{id}/start,Done
91,9. Technician Dashboard – All APIs (Technician Only),9. Technician Dashboard – All APIs (Technician Only),POST,/api/tech/visits/{id}/complete,Done
92,9. Technician Dashboard – All APIs (Technician Only),9. Technician Dashboard – All APIs (Technician Only),POST,/api/technician/report/{id},Done
93,9. Technician Dashboard – All APIs (Technician Only),9. Technician Dashboard – All APIs (Technician Only),GET,/api/technician/field-notes,Done
94,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),GET,/api/technician/dashboard,Done
95,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),GET,/api/technician/profile,Done
96,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),PUT,/api/technician/profile,Done
97,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),POST,/api/technician/profile,Done
98,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),GET,/api/technician/service-areas,Done
99,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),PUT,/api/technician/service-areas,Done
100,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),GET,/api/technician/specializations,Done
101,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),POST,/api/technician/specializations,Done
102,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),GET,/api/technician/tasks,Done
103,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),GET,/api/technician/tasks/{id},Done
104,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),GET,/api/technician/tasks/{id}/detail,Done
105,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),PUT,/api/technician/tasks/{id}/status,Done
106,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),POST,/api/technician/tasks/{id}/accept,Done
107,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),POST,/api/technician/tasks/{id}/reject,Done
108,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),GET,/api/technician/jobs,Done
109,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),GET,/api/technician/jobs/accepted,Done
110,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),GET,/api/technician/jobs/rejected,Done
111,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),GET,/api/technician/jobs/status-counts,Done
112,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),POST,/api/tech/visits/{id}/photos,Done
113,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),GET,/api/technician/payout-summary,Done
114,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),GET,/api/technician/payouts,Done
115,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),GET,/api/technician/settings/payout,Done
116,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),PUT,/api/technician/settings/payout,Done
117,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),GET,/api/technician/bank-accounts,Done
118,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),POST,/api/technician/bank-accounts,Done
119,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),PUT,/api/technician/bank-accounts/{id},Done
120,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),DELETE,/api/technician/bank-accounts/{id},Done
121,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),GET,/api/technician/leave-types,Done
122,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),GET,/api/technician/availability,Done
123,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),PUT,/api/technician/availability,Done
124,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),GET,/api/technician/schedule,Done
125,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),GET,/api/technician/notifications,Done
126,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),POST,/api/technician/notifications/{id}/read,Done
127,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),POST,/api/technician/notifications/read-all,Done
128,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),POST,/api/technician/notifications/clear-all,Done
129,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),GET,/api/technician/support/help-center,Done
130,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),GET,/api/technician/support/faqs,Done
131,9. Technician Dashboard – All APIs (Technician Only),Technician Dashboard (Full API),POST,/api/technician/support/tickets,Done
132,10. Supervisor Dashboard – All APIs,A. Dashboard,GET,/api/supervisor/dashboard/summary,Done
133,10. Supervisor Dashboard – All APIs,A. Dashboard,GET,/api/supervisor/dashboard/kpis,Done
134,10. Supervisor Dashboard – All APIs,A. Dashboard,GET,/api/supervisor/dashboard/alerts,Done
135,10. Supervisor Dashboard – All APIs,B. My Team,GET,/api/supervisor/areas,Done
136,10. Supervisor Dashboard – All APIs,B. My Team,GET,/api/supervisor/team,Done
137,10. Supervisor Dashboard – All APIs,B. My Team,GET,/api/supervisor/team-stats,Done
138,10. Supervisor Dashboard – All APIs,B. My Team,GET,/api/supervisor/team/{id},Done
139,10. Supervisor Dashboard – All APIs,C. Assign Tasks,GET,/api/supervisor/assignments,Done
