"TANDIL BACKEND — API INDEX (each row = one unique API: METHOD + path; duplicates from Postman removed)",,,,,,,
,,,,,,,
"HOW TO USE THIS FILE",,,,,,,
"Sort or filter by column ""Audience"" for Client, Admin, Supervisor, etc. Use ""Postman root folder"" to jump to the same top folder in Postman.",,,,,,,
,,,,,,,
"WHERE EACH USER TYPE STARTS IN POSTMAN (folder numbers match tandil_backend.json)",,,,,,,
"Shared / entry","Folder ""1. Health Check - START HERE"" (health check first; wallet summaries listed here are shared across roles).",,,,,,,
"All roles","Folder ""2. Authentication"" (register, login, password, email verification).",,,,,,,
Client,"Folders ""3."" through ""8."" (profile, subscriptions, banners, visits, reports, shop & orders; payments under ""8."").",,,,,,,
Technician,"Folder ""9. Technician Dashboard – All APIs"".",,,,,,,
Supervisor,"Folder ""10. Supervisor Dashboard – All APIs"".",,,,,,,
"Area Manager","Folder ""11. Area Manager Dashboard – All APIs"".",,,,,,,
"HR Manager","Folder ""12. HR Manager Dashboard – All APIs"".",,,,,,,
Admin,"Folders ""13."" through ""16."" (stats & users, reports, support tickets, settings).",,,,,,,
"Cross-role / other","Folder ""17. Other Modules"" (e.g. notifications hub, shared utilities).",,,,,,,
,,,,,,,
"Sr. No.",Audience,"Postman root folder",Name,"Module (full path in Postman)",Methods,Endpoint,Status
1,"Shared — start here (health, debug, wallet hub under folder 1)","1. Health Check - START HERE","Health Check","1. Health Check - START HERE",GET,/api/health,Active
2,"Shared — start here (health, debug, wallet hub under folder 1)","1. Health Check - START HERE","Debug Performance","1. Health Check - START HERE",GET,/api/debug/performance,Active
3,"Shared — start here (health, debug, wallet hub under folder 1)","1. Health Check - START HERE","User Wallet Summary","1. Health Check - START HERE > Wallet APIs",GET,/api/user/wallet,Active
4,"Shared — start here (health, debug, wallet hub under folder 1)","1. Health Check - START HERE","User Wallet Credits List","1. Health Check - START HERE > Wallet APIs",GET,/api/user/wallet/credits,Active
5,"Shared — start here (health, debug, wallet hub under folder 1)","1. Health Check - START HERE","Admin Wallet Overview","1. Health Check - START HERE > Wallet APIs",GET,/api/admin/wallet/overview,Active
6,"Shared — start here (health, debug, wallet hub under folder 1)","1. Health Check - START HERE","Admin Wallet Credits Ledger","1. Health Check - START HERE > Wallet APIs",GET,/api/admin/wallet/credits,Active
,"--- Authentication — all roles (register, login, …) ---",,,,,,
7,"Authentication — all roles (register, login, …)","2. Authentication",Register,"2. Authentication",POST,/api/auth/register,Active
8,"Authentication — all roles (register, login, …)","2. Authentication",Login,"2. Authentication",POST,/api/auth/login,Active
9,"Authentication — all roles (register, login, …)","2. Authentication","Technician signup - List areas (GET)","2. Authentication",GET,/api/auth/technician-signup-areas,Active
10,"Authentication — all roles (register, login, …)","2. Authentication","Register Technician","2. Authentication",POST,/api/auth/register-technician,Active
,"--- Client — folders 3–8 in Postman (profile → shop) ---",,,,,,
11,"Client — folders 3–8 in Postman (profile → shop)","3. Client Dashboard – Profile","Get Profile","3. Client Dashboard – Profile",GET,/api/auth/profile,Active
12,"Client — folders 3–8 in Postman (profile → shop)","3. Client Dashboard – Profile",Logout,"3. Client Dashboard – Profile",POST,/api/auth/logout,Active
13,"Client — folders 3–8 in Postman (profile → shop)","3. Client Dashboard – Profile","Forgot Password","3. Client Dashboard – Profile",POST,/api/auth/forgot-password,Active
14,"Client — folders 3–8 in Postman (profile → shop)","3. Client Dashboard – Profile","Verify OTP","3. Client Dashboard – Profile",POST,/api/auth/verify-otp,Active
15,"Client — folders 3–8 in Postman (profile → shop)","3. Client Dashboard – Profile","Reset Password","3. Client Dashboard – Profile",POST,/api/auth/reset-password,Active
16,"Client — folders 3–8 in Postman (profile → shop)","3. Client Dashboard – Profile","Notifications - Statics list (with filters)","3. Client Dashboard – Profile > Notifications (Dedicated API)",GET,/api/client/notifications,Active
